TIMESTAMP_START,TIMESTAMP_MID,TIMESTAMP_END,incomingShortwaveRadiation_43m,outgoingShortwaveRadiation_43m,incomingLongwaveRadiation_43m,outgoingLongwaveRadiation_43m,airPressure_43m,airTemperature_2m,airTemperature_43m,relHumidity_2m,relHumidity_43m,VaporPressure_43m,VaporPressureDeficit_43m,Precipitation_43m,belowcanopyPrecipitation_1m,WindVelocity_I_43m,WindVelocity_II_43m,WindDirection_43m,soilTemperature_1_5cm,soilTemperature_2_5cm,soilTemperature_3_5cm,soilTemperature_1_15cm,soilTemperature_2_15cm,soilTemperature_3_15cm,soilTemperature_1_30cm,soilTemperature_2_30cm,soilTemperature_3_30cm,soilMoisture_1_5cm,soilMoisture_2_5cm,soilMoisture_3_5cm,soilMoisture_1_15cm,soilMoisture_2_15cm,soilMoisture_3_15cm,soilMoisture_1_30cm,soilMoisture_2_30cm,soilMoisture_3_30cm
-,-,-,Wm-2,Wm-2,Wm-2,Wm-2,hPa,degC,degC,%,%,hPa,hPa,mm,mm,ms-1,ms-1,deg,degC,degC,degC,degC,degC,degC,degC,degC,degC,%,%,%,%,%,%,%,%,%
2024-06-06 18:30:00,2024-06-06 18:45:00,2024-06-06 19:00:00,77.62666666666667,16.91333333333333,300.1829721680371,390.13397216803713,959.0,14.86,16.07,73.03333333333335,49.669999999999995,9.085587003260219,9.20631354689122,0.0,0.0,3.373333333333333,3.1990000000000003,313.23346086640663,12.533333333333331,13.033333333333331,13.033333333333331,12.53,12.32,12.36,11.85,11.893333333333333,11.856666666666667,39.09,36.21666666666667,37.93,36.70333333333333,33.126666666666665,33.94,15.13,40.4,41.27
2024-06-06 19:00:00,2024-06-06 19:15:00,2024-06-06 19:30:00,43.80666666666667,9.936666666666667,297.3092349850776,387.47923498507754,959.0,14.316666666666668,15.556666666666667,71.28,47.93333333333334,8.484520383684341,9.216148010650166,0.0,0.0,4.136,3.908,311.72894565933353,12.56,13.056666666666667,13.046666666666667,12.573333333333332,12.356666666666667,12.39,11.873333333333333,11.906666666666666,11.866666666666665,39.04,36.196666666666665,37.916666666666664,36.67,33.10666666666666,33.9,15.12,40.39666666666667,41.21333333333333
2024-06-06 19:30:00,2024-06-06 19:45:00,2024-06-06 20:00:00,38.06333333333333,13.816666666666668,300.55554211340944,383.29054211340946,959.0,14.216666666666669,14.81,68.22666666666667,59.85333333333333,10.097592165758728,6.772967255758418,0.0,0.0,3.574333333333333,3.2663333333333333,344.40858750460467,12.576666666666666,13.07,13.043333333333331,12.596666666666666,12.38,12.416666666666666,11.87,11.9,11.886666666666668,39.02666666666667,36.169999999999995,37.89,36.650000000000006,33.1,33.90333333333333,15.12,40.37666666666667,41.22
2024-06-06 20:00:00,2024-06-06 20:15:00,2024-06-06 20:30:00,7.484333333333333,3.8483333333333327,293.9663798660246,379.11937986602464,959.6666666666666,13.656666666666666,13.910000000000002,72.67,64.32000000000001,10.236810330507044,5.678628616176791,0.0,0.0,3.6323333333333334,3.4886666666666666,0.5869641890613754,12.58,13.07,13.04,12.626666666666667,12.406666666666666,12.446666666666665,11.896666666666667,11.9,11.896666666666667,38.983333333333334,36.14333333333333,37.87,36.63,33.1,33.91,15.12,40.333333333333336,41.17333333333334
2024-06-06 20:30:00,2024-06-06 20:45:00,2024-06-06 21:00:00,-0.8746666666666668,2.6216666666666666,291.29430540519553,376.6076387385288,960.0,13.136666666666665,13.386666666666665,73.01,63.25666666666666,9.730216579245464,5.651903744165189,0.0,0.0,3.4996666666666667,3.5346666666666664,6.073029170869648,12.58,13.073333333333332,13.023333333333332,12.643333333333333,12.436666666666666,12.473333333333334,11.9,11.906666666666666,11.9,38.97666666666667,36.153333333333336,37.84,36.663333333333334,33.11000000000001,33.9,15.126666666666665,40.38,41.17333333333334
2024-06-06 21:00:00,2024-06-06 21:15:00,2024-06-06 21:30:00,-2.235,2.547,289.5043341965295,374.6453341965294,960.0,12.699999999999998,13.089999999999998,73.46999999999998,63.73,9.614819072432748,5.471983175225731,0.0,0.0,3.215333333333333,3.2253333333333334,5.510337382615433,12.573333333333332,13.06,12.99,12.663333333333332,12.456666666666669,12.486666666666666,11.906666666666666,11.926666666666668,11.906666666666666,38.95666666666667,36.129999999999995,37.86333333333334,36.61,33.11,33.916666666666664,15.126666666666667,40.35,41.29333333333333
2024-06-06 21:30:00,2024-06-06 21:45:00,2024-06-06 22:00:00,-2.1846666666666668,2.1853333333333333,291.87406713962463,373.221400472958,960.0,12.273333333333333,12.773333333333333,74.19333333333333,65.25333333333333,9.642530029029976,5.134538875286497,0.0,0.0,4.126,3.733,354.60088795740614,12.546666666666667,13.04,12.953333333333333,12.673333333333332,12.476666666666667,12.496666666666668,11.92,11.93,11.916666666666666,38.95,36.11,37.85,36.59666666666667,33.09666666666667,33.89666666666667,15.13,40.27,41.160000000000004
2024-06-06 22:00:00,2024-06-06 22:15:00,2024-06-06 22:30:00,-2.1839999999999997,2.228333333333333,290.49121537811396,372.08321537811406,960.0,11.9,12.546666666666667,75.73333333333333,61.23333333333333,8.914839398407867,5.643962014343144,0.0,0.0,3.757,3.5833333333333335,357.37989400977193,12.516666666666666,13.019999999999998,12.920000000000002,12.68,12.5,12.51,11.933333333333332,11.94,11.933333333333332,38.9,36.07666666666666,37.836666666666666,36.59,33.07,33.876666666666665,15.13,40.300000000000004,41.11333333333334
2024-06-06 22:30:00,2024-06-06 22:45:00,2024-06-06 23:00:00,-2.0446666666666666,2.562666666666667,287.4583801301622,371.50938013016224,960.0,11.676666666666668,12.486666666666666,74.76666666666667,56.93333333333333,8.256187307347384,6.245312647009849,0.0,0.0,3.408333333333333,3.577,8.31826315108662,12.49,12.979999999999999,12.87,12.68,12.51,12.520000000000001,11.94,11.956666666666669,11.94,38.9,36.06333333333333,37.809999999999995,36.583333333333336,33.07,33.86333333333334,15.13,40.27,41.11
2024-06-06 23:00:00,2024-06-06 23:15:00,2024-06-06 23:30:00,-1.9693333333333334,2.789,291.00403304597415,371.82703304597413,960.0,11.560000000000002,12.496666666666668,74.51,59.46333333333333,8.628745971304612,5.882290473515074,0.0,0.0,3.2176666666666667,3.421,17.832495687081057,12.456666666666669,12.953333333333333,12.823333333333332,12.68,12.520000000000001,12.533333333333333,11.946666666666667,11.97,11.950000000000001,38.876666666666665,36.02666666666667,37.8,36.56333333333333,33.07,33.85666666666666,15.13,40.26666666666667,41.10333333333333
