H_f,LE_f,H_orig,location,day,year,month,date,30min,LE_orig,waterVaporPressure,soilHeatflux,incomingShortwaveRadiation,airPressure,relativeHumidity,waterPressureDeficit,windSpeed,outgoingShortwaveRadiation
-23.09313,24.1502,-23.09313,0,18,2023,2,2023-02-18 16:00:00,32,24.15,10.336096145561147,7.127333333333333,13.884666666666668,987.2783333333333,86.51466666666666,1.6111222207595706,3.3203333333333336,2.4566666666666666
-27.22692,25.055139999999998,-27.22692,0,18,2023,2,2023-02-18 16:30:00,33,25.055,10.378455446586226,6.724333333333334,6.5683333333333325,987.6436666666667,87.02533333333334,1.5473310446112318,3.0090000000000003,1.0923333333333334
-17.98387,13.58436,-17.98387,0,18,2023,2,2023-02-18 17:00:00,34,13.584000000000001,10.372084550526216,6.312666666666666,2.4523333333333337,987.8783333333334,87.26333333333332,1.5138750551037354,2.885333333333333,0.28099999999999997
-22.46047,16.57412,-22.46047,0,18,2023,2,2023-02-18 17:30:00,35,16.574,10.434486758551772,5.873,-1.2013333333333334,987.926,89.12033333333333,1.2738253272256301,2.7999999999999994,-0.12933333333333333
-22.37341,18.62486,-22.37341,0,18,2023,2,2023-02-18 18:00:00,36,18.625,10.479491655869092,5.495666666666668,-2.839,988.0603333333333,91.83766666666668,0.9313945700466633,3.0036666666666663,0.1423333333333333
36.386829999999996,44.392720000000004,36.386829999999996,0,19,2023,2,2023-02-19 13:00:00,26,44.393,7.869292039987855,10.399666666666667,306.724,993.2373333333334,82.23133333333334,1.7004081229522905,0.9496666666666668,59.78933333333333
46.36695,60.6917,46.36695,0,19,2023,2,2023-02-19 13:30:00,27,60.692,7.8285345883155495,12.807333333333332,269.117,993.2966666666666,78.93466666666667,2.0892048776337786,1.099,53.82566666666667
29.91467,49.572109999999995,29.91467,0,19,2023,2,2023-02-19 14:00:00,28,49.571999999999996,7.667902836067852,13.418000000000001,194.43966666666665,993.7223333333333,79.39733333333334,1.9897298754436834,1.0890000000000002,38.124
14.49438,53.890240000000006,14.49438,0,19,2023,2,2023-02-19 14:30:00,29,53.89,7.579464116752789,11.829,230.3083333333333,993.9816666666667,78.68066666666665,2.053733513439453,1.122,45.335
10.214039999999999,38.32535,10.214039999999999,0,19,2023,2,2023-02-19 15:30:00,31,38.325,7.244643350383714,10.035666666666668,107.96566666666666,994.0356666666667,75.82100000000001,2.310286484864716,0.8079999999999999,20.524666666666665
-2.2422590000000002,14.004710000000001,-2.24226,0,19,2023,2,2023-02-19 17:00:00,34,14.005,7.60222247822169,3.9446666666666665,7.272666666666667,994.2386666666667,82.98766666666667,1.5584429357816232,0.6336666666666667,1.7736666666666665
-1.738103,3.427834,-1.7381,0,19,2023,2,2023-02-19 18:30:00,37,3.4278,7.916904585666489,0.397,-0.5593333333333333,995.0636666666668,87.82733333333333,1.09726479098902,0.4923333333333333,0.318
-2.734794,4.145734,-2.7347900000000003,0,19,2023,2,2023-02-19 19:00:00,38,4.1457,7.939957162218705,-0.29633333333333334,-0.8686666666666666,995.0409999999998,88.253,1.056855594535972,0.511,0.31033333333333335
-3.259505,2.8982080000000003,-3.2595,0,19,2023,2,2023-02-19 19:30:00,39,2.8982,8.055323393482889,-0.9116666666666667,-0.8816666666666667,995.085,90.33566666666665,0.8617784453805601,0.46,0.289
-1.563816,4.235049,-1.56382,0,19,2023,2,2023-02-19 20:00:00,40,4.235,8.14503593579415,-1.3403333333333334,-0.48733333333333334,995.333,91.21866666666666,0.7840969198284018,0.5296666666666667,0.13266666666666668
-1.25581,-5.230824,-1.25581,0,19,2023,2,2023-02-19 21:00:00,42,-5.2308,8.54195743819166,-1.8863333333333332,-1.0716666666666665,995.459,98.30566666666668,0.14722369228741528,0.866,0.5506666666666667
-2.240057,-1.199964,-2.2400599999999997,0,19,2023,2,2023-02-19 22:00:00,44,-1.2,8.677521549718614,-1.999666666666667,-0.5776666666666667,995.5279999999999,99.98933333333332,0.000925701040083382,0.884,0.4156666666666667
-2.229013,4.344439,-2.2290099999999997,0,19,2023,2,2023-02-19 22:30:00,45,4.3444,8.693031970386427,-2.048,-0.7453333333333333,995.6923333333334,100.0,0.0,0.7593333333333335,0.42933333333333334
-2.666291,4.975171,-2.66629,0,19,2023,2,2023-02-19 23:00:00,46,4.9752,8.69100502528236,-2.063,-0.8406666666666668,995.765,100.0,0.0,1.1626666666666667,0.48900000000000005
-6.216118,6.185843,-6.21612,0,20,2023,2,2023-02-20 00:00:00,0,6.1858,8.734917832566692,-2.2433333333333336,-1.2513333333333334,995.7006666666666,98.822,0.10412391174802771,1.446,0.7746666666666666
-13.38459,16.105079999999997,-13.38459,0,20,2023,2,2023-02-20 00:30:00,1,16.105,8.459788451603597,-2.395,-1.391333333333333,995.5260000000002,93.89566666666667,0.5499867083472676,1.7666666666666668,1.0793333333333335
-12.49714,16.94247,-12.49714,0,20,2023,2,2023-02-20 01:00:00,2,16.942,8.205096348738987,-2.7076666666666664,-1.1193333333333333,995.2506666666667,90.46,0.8653174791838385,1.9489999999999998,0.9636666666666667
-10.16107,12.6555,-10.16107,0,20,2023,2,2023-02-20 01:30:00,3,12.655,8.119598177206615,-3.0263333333333335,-0.8356666666666667,995.1563333333334,89.87333333333333,0.9148927847471882,1.7243333333333333,0.6196666666666667
-12.25952,15.877820000000002,-12.25952,0,20,2023,2,2023-02-20 02:00:00,4,15.878,8.024717806660004,-3.206666666666667,-0.7490000000000001,995.0693333333334,88.79633333333334,1.0124997285910808,1.8486666666666667,0.4146666666666667
-9.429672,10.3397,-9.42967,0,20,2023,2,2023-02-20 02:30:00,5,10.34,8.002990384449026,-3.3706666666666667,-0.7080000000000001,994.8746666666667,88.89166666666667,1.0000924517174976,1.390666666666667,0.233
-11.54165,12.38819,-11.54165,0,20,2023,2,2023-02-20 03:00:00,6,12.388,7.927913058715173,-3.422333333333333,-0.7086666666666667,994.5896666666667,87.75366666666667,1.106368196824203,1.675,0.18966666666666665
-18.25005,10.034460000000001,-18.25005,0,20,2023,2,2023-02-20 03:30:00,7,10.033999999999999,7.800105632547508,-3.626,-1.3656666666666666,994.245,87.07800000000002,1.157502066925959,1.7233333333333334,0.128
-23.787470000000003,21.64283,-23.787470000000003,0,20,2023,2,2023-02-20 04:00:00,8,21.643,7.689530022857209,-4.075666666666667,-1.2523333333333335,993.8223333333332,86.45033333333333,1.2052072515591714,2.612666666666667,0.037
-21.95683,15.598989999999999,-21.95683,0,20,2023,2,2023-02-20 04:30:00,9,15.599,7.628537228016066,-4.6643333333333326,-1.5766666666666669,993.6723333333333,86.29899999999999,1.2111216649213574,2.0653333333333332,0.08466666666666667
-16.121489999999998,13.193520000000001,-16.121489999999998,0,20,2023,2,2023-02-20 05:00:00,10,13.194,7.610519523763027,-4.9976666666666665,-1.265666666666667,993.7806666666667,86.70266666666664,1.1672030265964723,2.0340000000000003,0.077
-18.43785,17.95191,-18.43785,0,20,2023,2,2023-02-20 05:30:00,11,17.952,7.413639610590476,-5.202333333333333,-1.1773333333333333,993.535,85.72733333333332,1.2342901946725018,1.9909999999999999,0.034
-19.89164,17.778589999999998,-19.89164,0,20,2023,2,2023-02-20 06:00:00,12,17.779,7.340635200530025,-5.403,-1.1326666666666667,993.0866666666667,84.65966666666667,1.330123248629187,1.7596666666666667,0.04033333333333334
-28.05889,9.581847999999999,-28.05889,0,20,2023,2,2023-02-20 06:30:00,13,9.5818,7.36866228937397,-5.5873333333333335,-2.5743333333333336,992.8123333333333,85.05033333333334,1.295221790297247,2.2033333333333336,0.21999999999999997
