year,month,day,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,windSpeed,day_of_year,day_of_year,H_orig,LE_orig
2024,5,26,26,0,842.2383333333333,85.67166666666667,16.75659812563039,2.417,147,147,85.13728,209.4
2023,7,6,46,0,-4.873333333333333,-34.89033333333333,2.033516960737721,1.0063333333333333,187,187,-14.080370000000002,2.379
2023,7,26,20,1,525.5666666666667,-40.17330470598357,2.448327601504083,3.1686666666666667,207,207,87.40113000000001,175.93
2024,4,17,23,0,480.086,12.787666666666667,4.991429999589947,1.79,108,108,90.26626999999999,137.55
2024,6,9,23,0,938.4136666666667,52.84566666666666,12.82932057126272,1.7853333333333332,161,161,147.7089,191.33
2023,7,18,1,1,-2.308666666666667,-42.80036785613119,1.9390633064496807,3.717333333333334,199,199,-75.29222,24.788
2024,5,17,25,1,646.2666666666667,-4.727794335505941,9.052375421948213,5.407333333333333,138,138,237.3823,249.87
2023,5,13,37,0,118.78466666666668,10.380333333333333,11.042241560771402,3.5380000000000003,133,133,-62.78488,127.58
2024,4,4,41,1,-0.5273333333333333,-3.119731392606714,1.625309853792828,5.189000000000001,95,95,-50.52258,47.295
2024,6,27,13,1,306.40000000000003,-10.488277992654123,8.067786935963127,1.7223333333333333,179,179,12.62708,38.786
2023,3,12,20,0,147.84,-11.109333333333334,2.3444870332036984,2.167666666666667,71,71,11.64237,31.583000000000002
2024,4,30,44,1,-2.451333333333333,-17.159099905204883,10.751088884782641,2.961,121,121,-74.81625,19.524
2023,7,14,15,1,418.9333333333334,-31.901489497765777,5.813731075932354,1.6806666666666665,195,195,79.23326,106.84
2023,6,8,41,0,-1.9573333333333334,1.849,10.032280096593928,2.9303333333333335,159,159,-37.305640000000004,24.049
2023,7,2,37,0,153.32366666666667,-0.8743333333333334,11.859291800635829,2.226,183,183,-22.12517,58.983999999999995
2023,7,11,13,0,277.56333333333333,-10.355666666666668,4.128352888397423,0.476,192,192,27.177229999999998,52.63399999999999
2024,6,9,11,1,174.13333333333333,0.3704624415854719,1.8621220733438975,2.859666666666667,161,161,22.674020000000002,31.142
2023,3,17,27,0,327.83566666666667,25.191333333333336,10.038791532356786,2.354,76,76,35.995670000000004,70.37
2024,4,23,43,1,-1.236,5.16170642475039,3.7035953842716616,2.8386666666666667,114,114,-21.64004,3.961
2023,7,19,34,0,381.8533333333333,20.996333333333332,13.069411903145552,1.4283333333333335,200,200,37.60593,87.09
2024,5,28,10,0,13.456000000000001,-15.872666666666666,0.5483442806949519,1.0866666666666667,149,149,-5.93171,17.593
2023,7,20,10,1,30.906666666666666,-45.89650032119108,0.7039052251884215,3.608333333333333,201,201,-8.55226,6.0829
2024,6,22,35,1,199.76666666666665,-8.99355041781539,5.1501594749407555,2.609,174,174,31.186120000000003,53.808
2023,7,3,2,1,-0.7663333333333333,-29.24294761389607,5.827830482744256,4.172,184,184,-33.0484,2.7008
2024,6,30,15,1,133.81333333333333,-6.305297730434806,0.7935093141704712,2.5589999999999997,182,182,3.94405,35.016999999999996
2023,7,15,3,1,-2.4730000000000003,-37.42249756810061,12.596431386327968,3.593,196,196,-21.29936,4.0042
2024,4,2,42,0,-1.0273333333333332,-4.766666666666667,2.2759971406845185,1.5279999999999998,93,93,-16.8322,14.06
2023,6,24,33,0,557.654,40.00966666666667,18.809244486667467,1.282333333333333,175,175,74.47832,150.37
2023,2,22,29,0,276.577,26.548000000000002,5.833110533971009,1.7389999999999999,53,53,24.96005,34.272
2023,5,22,27,0,777.2803333333333,48.64433333333333,18.2038283370514,2.4293333333333336,142,142,85.53576,184.74
2023,7,30,14,0,330.72166666666664,1.2369999999999999,5.5058364482601,1.704,211,211,12.31243,80.768
2024,4,3,40,1,-1.0276666666666667,-3.265188671182722,0.7668721574280557,4.478,94,94,-19.73463,6.6752
2024,4,19,0,0,-1.569,-18.052666666666667,2.142192423336743,0.6666666666666666,110,110,-11.39997,10.832
2024,4,26,2,0,-1.8389999999999997,-18.468999999999998,1.2715037524093091,1.418,117,117,-26.2513,14.523
2023,6,28,33,0,446.82300000000004,22.984666666666666,15.485648144388687,1.288333333333333,179,179,46.440740000000005,97.016
2024,5,17,5,0,-4.028333333333333,-20.283666666666665,1.4438811415480526,1.8683333333333332,138,138,-52.80449,22.987
2023,4,27,47,0,-3.122666666666666,-8.098666666666666,3.9065284834191036,2.634,117,117,-28.53593,14.029000000000002
2023,5,26,7,1,-1.2096666666666667,-31.742576166147913,0.8533544437460616,2.717333333333334,146,146,-37.73377,-7.2249
2024,4,9,18,1,310.59999999999997,-8.53810928042374,5.56323640408144,2.996,100,100,71.0399,16.403
2023,6,16,28,0,766.7283333333334,29.060666666666666,19.298955939226108,1.812,167,167,118.1351,95.541
2023,4,25,36,0,98.063,-2.6426666666666665,4.95060857294342,2.7129999999999996,115,115,-35.00869,51.17
2024,4,29,37,1,55.61000000000001,-15.063834308211945,8.974129794742176,1.9206666666666667,120,120,-15.8269,7.0839
2023,7,13,7,1,-2.4633333333333334,-20.165493917107344,5.562722360732103,2.473333333333333,194,194,-31.01721,5.5411
2023,7,16,21,0,868.195,83.47133333333332,14.961999911212631,3.0226666666666664,197,197,135.2098,274.53
2023,6,25,13,0,298.1206666666667,-7.704666666666667,3.3443579740315528,0.8343333333333334,176,176,32.797959999999996,49.632
2024,6,17,3,1,-1.454,-4.012097135705739,4.142621068201121,3.292666666666667,169,169,-29.599290000000003,2.7164
2024,5,13,1,1,-2.5966666666666662,-5.664201313694699,5.903384023765748,2.6563333333333334,134,134,-58.87365,20.861
2024,6,27,22,0,852.8629999999999,109.83933333333334,23.157290762136853,1.191,179,179,90.47679000000001,227.91
