year,month,day,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,windSpeed,day_of_year,H_orig,LE_orig,day_of_year
2024,5,3,5,1,-1.7926666666666666,-8.271206215823135,1.1646249170460745,2.343,124,-20.65405,-7.3129,124
2024,5,3,8,0,-0.221,-7.105,1.3101975041709526,0.8896666666666667,124,-4.0250900000000005,6.119,124
2024,5,3,9,0,0.3626666666666667,-5.969333333333334,1.3814975444357227,1.1003333333333332,124,-4.72925,6.4832,124
2024,5,3,9,1,0.557,-6.601744922300496,0.8348133938645415,2.6319999999999997,124,-0.6921,2.609,124
2024,5,3,10,0,9.212666666666665,-5.157666666666667,1.5105227992133283,1.2623333333333333,124,-5.65989,7.4995,124
2024,5,3,10,1,7.017666666666666,-6.394899659075507,0.8095333186560651,3.3156666666666665,124,1.5503200000000001,3.189,124
2024,5,3,11,0,19.208,-4.011333333333333,1.5809195529590312,1.8383333333333336,124,-5.7792,11.782,124
2024,5,3,12,0,35.06933333333333,-3.3243333333333336,1.7500605123562831,2.345666666666667,124,-4.13057,18.901,124
2024,5,3,12,1,31.039999999999996,-5.871050949522025,0.9027965613209332,3.0676666666666663,124,19.52135,20.019000000000002,124
2024,5,3,15,0,106.48366666666668,0.8093333333333335,1.371906149889785,1.8849999999999998,124,10.60538,30.840999999999998,124
2024,5,3,15,1,67.54333333333334,-5.4102593172871725,0.7108062358680449,3.235666666666667,124,11.05659,30.253,124
2024,5,3,16,0,78.47133333333333,3.2743333333333333,1.8288972341198573,1.8323333333333334,124,5.1616,25.971,124
2024,5,3,16,1,135.5,-5.076746936483309,0.666557811735224,3.0273333333333334,124,11.702580000000001,39.400999999999996,124
2024,5,3,17,1,158.03333333333333,-5.093320965242048,0.705738092353144,3.641666666666667,124,12.77743,26.003,124
2024,5,3,18,0,75.533,2.9683333333333337,2.401841167809714,1.8993333333333335,124,2.48343,26.980999999999998,124
2024,5,3,18,1,153.53333333333333,-4.839850940982878,0.8744572621439222,3.731,124,20.998,45.512,124
2024,5,3,19,0,171.57066666666665,3.7560000000000002,2.571257425876704,2.179,124,15.21376,45.504,124
2024,5,3,19,1,152.23333333333335,-4.871333726484912,1.058979629538845,4.781666666666666,124,17.12643,67.564,124
2024,5,3,20,0,195.36033333333333,8.921333333333333,3.596841148651773,2.1583333333333337,124,17.569689999999998,50.083,124
2024,5,3,20,1,313.76666666666665,-4.901242450902697,1.8994392609289612,4.698666666666667,124,40.30049,53.879,124
2024,5,3,21,0,167.62,9.016666666666667,3.760537802719334,1.9420000000000002,124,22.60652,64.377,124
2024,5,3,21,1,146.03333333333333,-4.885589678733129,2.1531896673116737,3.693,124,30.48858,40.606,124
2024,5,3,22,0,164.34633333333332,8.149666666666667,3.5942678825499286,1.9976666666666667,124,19.696270000000002,58.136,124
2024,5,3,22,1,225.9666666666667,-4.917315363374863,2.124315705250547,4.058,124,65.24194,47.941,124
2024,5,3,23,0,304.54833333333335,15.134,4.355142936732298,2.0370000000000004,124,64.46351999999999,95.125,124
2024,5,3,23,1,227.4,-4.932390935468315,1.9945505278896167,3.924,124,81.23015,28.232,124
2024,5,3,24,0,109.669,11.613333333333335,3.723783593799592,1.6676666666666666,124,5.86244,34.815,124
2024,5,3,24,1,207.83333333333334,-5.107987674963428,2.5008955736553613,3.955,124,59.33885,39.746,124
2024,5,3,25,0,191.01966666666667,9.514333333333333,4.117383945289241,1.7833333333333332,124,23.29579,54.542,124
2024,5,3,25,1,177.1,-5.0448482389473375,2.248821946766501,4.200666666666667,124,42.624520000000004,37.732,124
2024,5,3,26,0,160.0923333333333,9.348333333333334,4.435826620801999,1.4966666666666668,124,12.83286,51.711000000000006,124
2024,5,3,27,0,139.124,9.739666666666666,4.779046568301631,1.6209999999999998,124,13.81586,53.271,124
2024,5,3,27,1,125.26666666666665,-5.025947004961873,2.812944156344752,3.3703333333333334,124,32.21597,39.556999999999995,124
2024,5,3,28,0,139.067,6.902666666666666,4.456326123896014,1.5113333333333332,124,9.913969999999999,41.086000000000006,124
2024,5,3,28,1,139.16666666666666,-4.977800081125841,2.89687151714031,3.337,124,29.947770000000002,26.651,124
2024,5,3,29,0,55.50033333333334,5.105333333333333,4.149795391921561,1.6546666666666665,124,-5.40796,37.089,124
2024,5,3,29,1,83.76666666666667,-5.056207804076549,2.8329291662160827,3.1506666666666665,124,10.96331,28.84,124
2024,5,3,30,0,62.46033333333333,0.48766666666666664,3.9048698534984965,1.6463333333333334,124,-4.03975,32.053000000000004,124
2024,5,3,30,1,78.27666666666667,-4.928618333171614,2.4785792769721677,3.535,124,12.061819999999999,23.956999999999997,124
2024,5,3,31,0,41.934666666666665,-1.454,3.872936149084504,1.9286666666666668,124,-6.49932,27.046,124
2024,5,3,31,1,59.72,-4.674314299740482,2.536369058616776,2.7369999999999997,124,5.359319999999999,22.288,124
2024,5,3,32,1,22.043333333333333,-4.595193302845155,2.3964241178868555,3.6206666666666663,124,18.614810000000002,32.006,124
2024,5,3,33,0,43.18066666666667,-5.582333333333334,3.1899789963567375,1.6666666666666667,124,-3.46414,26.28,124
2024,5,3,33,1,29.596666666666664,-4.309099077747669,2.2039822220741776,4.624666666666667,124,5.74984,23.174,124
2024,5,3,34,0,49.43266666666667,-5.914333333333334,3.245637503883401,1.9756666666666665,124,-3.0310200000000003,25.964000000000002,124
2024,5,3,34,1,39.413333333333334,-4.023518431750754,2.130284855254409,4.388333333333333,124,2.74179,14.232000000000001,124
2024,5,3,35,0,48.36433333333334,-5.777333333333334,3.3509833746975204,1.9126666666666665,124,-9.53267,21.859,124
2024,5,3,35,1,35.00666666666667,-3.7852640769565484,2.1821922220659538,4.713333333333334,124,-2.69997,18.149,124
2024,5,3,36,0,35.35466666666667,-7.2123333333333335,3.0039495319027427,1.6666666666666667,124,-2.56134,22.765,124
2024,5,3,37,0,21.397000000000002,-8.015,2.8542260873447187,1.4373333333333334,124,-5.28677,15.812999999999999,124
2024,5,3,37,1,15.13,-2.881799463703839,1.9495247266676845,3.6590000000000003,124,-3.81408,15.780999999999999,124
2024,5,3,38,0,12.819666666666668,-8.741333333333332,2.8353159617393384,1.5133333333333334,124,-4.9787,13.045,124
2024,5,3,38,1,12.290999999999999,-2.565116967641186,2.0544634727042315,3.510666666666666,124,-8.3907,19.31,124
2024,5,3,39,0,1.296,-10.115,2.62335607003339,1.194,124,-9.78647,12.0,124
2024,5,3,39,1,2.2733333333333334,-2.2163216875468175,2.011882460726774,2.781,124,-12.139710000000001,10.198,124
2024,5,3,40,0,-0.8553333333333333,-10.35,2.6379550830319225,1.1926666666666665,124,-7.50625,13.302,124
2024,5,3,40,1,-0.3116666666666667,-1.9152709011563698,1.8923841507827284,2.5416666666666665,124,-9.012089999999999,8.0076,124
2024,5,3,41,0,-1.4026666666666667,-10.536666666666667,2.566437775173961,0.855,124,-8.37866,9.1925,124
2024,5,3,41,1,-0.5663333333333332,-1.5509637846953153,1.8490444450605992,2.1013333333333333,124,-12.68182,14.556,124
