year,month,30min,location,day,H_orig,LE_orig,date,incomingShortwaveRadiation,outgoingShortwaveRadiation
2023,1,36,0,3,,,2023-01-03 18:00:00,-4.649,0.39799999999999996
2023,1,36,1,3,,,2023-01-03 18:00:00,-2.119666666666667,1.8966666666666665
2023,1,37,0,3,,,2023-01-03 18:30:00,-5.316666666666666,0.2823333333333333
2023,1,37,1,3,,,2023-01-03 18:30:00,-2.0853333333333333,1.8490000000000002
2023,1,38,0,3,,,2023-01-03 19:00:00,-4.965,0.38566666666666666
2023,1,38,1,3,,,2023-01-03 19:00:00,-1.8716666666666668,1.7823333333333335
2023,1,39,0,3,,,2023-01-03 19:30:00,-4.649333333333334,0.476
2023,1,39,1,3,,,2023-01-03 19:30:00,-1.9873333333333332,1.7186666666666668
2023,1,40,0,3,,,2023-01-03 20:00:00,-3.9879999999999995,0.5506666666666667
2023,1,40,1,3,,,2023-01-03 20:00:00,-1.9949999999999999,1.6813333333333331
2023,1,41,0,3,,,2023-01-03 20:30:00,-4.971333333333334,0.5433333333333333
2023,1,41,1,3,,,2023-01-03 20:30:00,-2.3613333333333335,1.7006666666666668
2023,1,42,0,3,,,2023-01-03 21:00:00,-4.549666666666667,0.524
2023,1,42,1,3,,,2023-01-03 21:00:00,-2.0103333333333335,1.9523333333333335
2023,1,43,0,3,,,2023-01-03 21:30:00,-4.871666666666667,0.462
2023,1,43,1,3,,,2023-01-03 21:30:00,-2.081,2.057
2023,1,44,0,3,,,2023-01-03 22:00:00,-4.794666666666667,0.516
2023,1,44,1,3,,,2023-01-03 22:00:00,-2.1999999999999997,1.9106666666666667
2023,1,45,0,3,,,2023-01-03 22:30:00,-4.6723333333333334,0.6206666666666667
2023,1,45,1,3,,,2023-01-03 22:30:00,-1.9896666666666665,1.8330000000000002
2023,1,46,0,3,,,2023-01-03 23:00:00,-4.624333333333333,0.5186666666666667
2023,1,46,1,3,,,2023-01-03 23:00:00,-1.6746666666666667,1.5706666666666667
2023,1,47,0,3,,,2023-01-03 23:30:00,-4.681,0.4286666666666667
2023,1,47,1,3,,,2023-01-03 23:30:00,-1.7576666666666665,1.4189999999999998
2023,1,0,0,4,,,2023-01-04 00:00:00,-4.936333333333333,0.342
2023,1,0,1,4,,,2023-01-04 00:00:00,-1.7853333333333332,1.4973333333333334
2023,1,1,0,4,,,2023-01-04 00:30:00,-4.691999999999999,0.351
2023,1,1,1,4,,,2023-01-04 00:30:00,-1.885,1.6763333333333332
2023,1,2,0,4,,,2023-01-04 01:00:00,-2.7899999999999996,0.22966666666666669
2023,1,2,1,4,,,2023-01-04 01:00:00,-1.6506666666666667,1.5079999999999998
2023,1,3,0,4,,,2023-01-04 01:30:00,-3.4616666666666664,0.27499999999999997
2023,1,3,1,4,,,2023-01-04 01:30:00,-1.5896666666666668,1.2466666666666668
2023,1,4,0,4,,,2023-01-04 02:00:00,-2.8529999999999998,0.25299999999999995
2023,1,4,1,4,,,2023-01-04 02:00:00,-1.6156666666666666,1.2293333333333336
2023,1,5,0,4,,,2023-01-04 02:30:00,-2.6489999999999996,0.13166666666666668
2023,1,5,1,4,,,2023-01-04 02:30:00,-1.5090000000000001,1.194
2023,1,6,0,4,,,2023-01-04 03:00:00,-3.0043333333333333,0.13533333333333333
2023,1,6,1,4,,,2023-01-04 03:00:00,-1.2436666666666667,0.9833333333333333
2023,1,7,0,4,,,2023-01-04 03:30:00,-3.2746666666666666,0.226
2023,1,7,1,4,,,2023-01-04 03:30:00,-1.2623333333333333,0.9580000000000001
2023,1,8,0,4,,,2023-01-04 04:00:00,-2.0466666666666664,0.10433333333333333
2023,1,8,1,4,,,2023-01-04 04:00:00,-0.9256666666666667,0.742
2023,1,9,0,4,,,2023-01-04 04:30:00,-2.5693333333333332,0.8306666666666667
2023,1,9,1,4,,,2023-01-04 04:30:00,-0.20366666666666666,0.7233333333333333
2023,1,10,0,4,,,2023-01-04 05:00:00,-3.3089999999999997,2.223666666666667
2023,1,10,1,4,,,2023-01-04 05:00:00,0.29833333333333334,0.8166666666666665
2023,1,11,0,4,,,2023-01-04 05:30:00,-1.5433333333333332,1.913
2023,1,11,1,4,,,2023-01-04 05:30:00,0.6673333333333334,0.4563333333333333
2023,1,12,0,4,,,2023-01-04 06:00:00,-1.2203333333333333,1.6829999999999998
2023,1,12,1,4,,,2023-01-04 06:00:00,0.4446666666666667,0.304
2023,1,13,0,4,,,2023-01-04 06:30:00,-1.4963333333333333,1.7446666666666666
2023,1,13,1,4,,,2023-01-04 06:30:00,0.4663333333333333,0.28800000000000003
2023,1,14,0,4,,,2023-01-04 07:00:00,-1.8103333333333331,1.636
2023,1,14,1,4,,,2023-01-04 07:00:00,0.6630000000000001,0.3563333333333334
2023,1,15,0,4,,,2023-01-04 07:30:00,-1.235,1.1929999999999998
2023,1,15,1,4,,,2023-01-04 07:30:00,0.49,0.26366666666666666
2023,1,16,0,4,,,2023-01-04 08:00:00,0.07066666666666666,1.9563333333333333
2023,1,16,1,4,,,2023-01-04 08:00:00,0.981,-0.066
2023,1,17,0,4,,,2023-01-04 08:30:00,3.123666666666667,2.5316666666666667
2023,1,17,1,4,,,2023-01-04 08:30:00,3.8876666666666666,0.016666666666666666
2023,1,18,0,4,,,2023-01-04 09:00:00,6.977666666666667,2.8393333333333337
2023,1,18,1,4,,,2023-01-04 09:00:00,7.638666666666666,0.2763333333333333
2023,1,19,0,4,,,2023-01-04 09:30:00,12.271666666666667,3.091666666666667
