30min,airTemperature,day_of_year,incomingShortwaveRadiation,location,year,H_orig,LE_orig
18,26.969333333333328,190,626.7253333333333,0,2023,66.92342,158.33
47,12.473333333333334,158,-1.527,1,2024,-36.86145,12.8
5,19.543333333333333,98,-2.9150000000000005,1,2024,-70.14426,10.104
15,11.223333333333334,120,273.1333333333333,1,2024,67.04120999999999,43.455
42,7.353333333333333,136,-2.219666666666667,1,2023,-54.274640000000005,-0.8806200000000001
39,15.579999999999998,181,37.336666666666666,1,2023,-23.14147,9.3109
16,14.833333333333334,199,549.0333333333333,1,2023,117.0742,57.36600000000001
18,7.863666666666667,94,146.86666666666667,1,2024,25.48859,33.079
47,1.2193333333333334,112,-2.3680000000000003,1,2024,-26.11943,0.093282
7,9.38,140,-0.431,1,2023,-5.40653,10.689
40,15.673333333333334,178,9.136666666666668,1,2023,-27.86944,7.0382
6,8.51,158,-1.9906666666666664,1,2024,-41.31608,14.947
44,12.514666666666663,125,-3.6626666666666665,0,2024,-38.962,9.3907
6,12.116666666666667,199,-1.517,1,2023,-65.62952,32.277
28,15.859,125,173.05999999999997,0,2024,8.82062,57.371
22,9.862666666666668,117,685.3530000000001,0,2023,140.5589,150.43
38,24.304999999999996,170,62.278,0,2023,-11.71353,38.777
25,20.551999999999996,129,755.628,0,2023,93.80897,184.64
34,14.811666666666667,135,103.039,0,2023,-4.98342,35.434
18,18.30366666666667,104,472.0933333333334,0,2024,55.3347,107.77
5,14.313333333333333,158,-0.6326666666666667,1,2023,-24.3862,13.626
27,13.583333333333334,181,218.5,1,2023,86.35848,76.685
42,18.161,104,-4.578,0,2024,-49.80592,14.855
47,16.006666666666668,136,-2.2536666666666663,1,2024,-45.96075,9.294
42,19.23333333333333,195,-3.348333333333333,0,2023,-13.83707,11.883
2,12.233333333333334,148,-2.391,1,2023,-36.76064,8.9128
30,19.68,187,558.7333333333332,1,2023,216.3324,275.95
42,13.089999999999998,158,-2.235,1,2024,-44.14469,7.9416
41,8.786666666666667,128,-2.231666666666667,1,2024,-35.09319,9.5984
13,16.300666666666668,186,66.29833333333333,0,2023,-10.93133,26.274
24,10.43,144,690.1666666666666,1,2023,272.2163,155.65
47,1.867,106,-0.0796666666666666,1,2024,-53.930240000000005,201.96
46,17.761,136,-4.291666666666667,0,2024,-66.12451,31.168000000000003
30,13.007666666666667,101,356.95966666666664,0,2024,49.46691,84.485
25,13.103666666666667,117,386.823,0,2024,53.217969999999994,98.859
0,15.856666666666667,136,-2.813,1,2024,-70.44608000000001,11.99
19,15.27,165,649.2,1,2023,232.8594,135.39
43,15.63,155,-2.9873333333333334,1,2023,-38.521440000000005,5.5096
35,19.575666666666667,184,176.49866666666665,0,2023,-7.432289999999999,86.74799999999999
33,13.932333333333332,101,350.02400000000006,0,2024,45.81093,69.14699999999999
1,17.756666666666664,198,-1.4813333333333334,1,2023,-43.07208,6.5195
12,6.404333333333334,102,53.74333333333333,0,2024,-17.281979999999997,7.5806
24,17.736666666666668,144,749.1999999999999,1,2024,258.5682,163.49
28,5.430666666666666,115,567.1333333333333,1,2024,281.9071,112.45
19,13.14,156,447.4,1,2024,105.7298,126.28
36,18.729333333333333,148,58.81233333333333,0,2024,-11.76338,25.595
47,16.819999999999997,179,-0.5136666666666667,1,2023,-2.0942,-0.025929
35,29.14333333333333,192,280.2,1,2023,7.04398,116.13
30,15.755666666666665,138,575.2356666666666,0,2023,74.28745,110.83
10,7.087666666666666,118,14.250666666666667,1,2024,-11.44527,-0.21113
28,21.69666666666667,135,756.6333333333332,1,2024,258.2039,270.74
6,13.43,204,-0.8410000000000001,1,2023,-9.45072,4.5394
8,16.103333333333335,160,6.908333333333334,1,2023,-62.84846999999999,8.8195
27,15.904333333333334,140,236.21466666666663,0,2023,20.67509,65.065
6,14.45,154,-0.3716666666666666,1,2024,-4.23681,11.336
19,10.726,145,298.85600000000005,0,2023,57.858909999999995,49.31399999999999
0,12.933333333333335,150,-0.6936666666666667,1,2024,-24.74207,5.2993
25,22.301999999999996,194,638.9063333333335,0,2023,86.53493,164.34
5,12.606666666666667,201,-0.6779999999999999,1,2023,-25.03556,0.8012600000000001
