30min,airTemperature,day,incomingShortwaveRadiation,location,month,soilHeatflux,waterPressureDeficit,year,H_orig,LE_orig
14,10.338,2,39.732000000000006,0,5,-0.947,1.3400035932561298,2023,-5.2269,19.891
22,12.913333333333332,22,100.7,1,5,-2.99967159353386,0.4921392100976796,2024,-10.08003,11.083
17,18.72,29,632.5666666666666,1,6,-0.4979682862779713,8.183720840225865,2024,185.2737,123.07
47,4.786666666666666,17,-2.1326666666666667,1,5,-28.447657306755566,2.4652243061540347,2023,-55.60547,3.0139
20,13.466666666666669,30,127.06666666666666,1,6,-26.76502853317665,0.7009720451120334,2023,15.326620000000002,42.81100000000001
5,13.48,3,-1.74,1,7,-29.24540802066971,4.130563310378733,2023,-24.02158,-0.065085
4,6.804666666666667,3,-1.0453333333333334,1,4,3.3505552765058564,1.7379818734534798,2024,-29.1114,1.3141
35,20.583333333333332,28,309.3333333333333,1,6,-10.958192074866764,12.83255888585274,2024,52.06025,112.83
0,13.563333333333333,21,-1.2226666666666668,1,5,-35.22904492936208,3.370378246894171,2023,-38.233509999999995,2.4598
33,21.473333333333333,18,458.0,1,7,-51.39225303964311,15.317797553652383,2023,81.52525,176.85
6,13.886666666666663,21,-2.0516666666666667,1,5,-4.35847157240792,3.493971539709225,2024,-63.325759999999995,5.9107
7,10.980000000000002,4,-2.0276666666666667,1,6,-32.5666677055216,6.939246230634681,2023,-32.05198,7.7952
12,10.0,6,42.66,1,5,0.8137645667280987,3.424270203644122,2024,8.98093,9.4481
22,9.862666666666668,27,685.3530000000001,0,4,19.15133333333333,6.493308121589036,2023,140.5589,150.43
13,14.581666666666663,15,316.28833333333336,0,6,-10.396666666666668,4.619368972644196,2023,31.27398,33.400999999999996
42,15.120333333333331,9,-3.806666666666666,0,5,-5.489,8.822991609372629,2023,-56.4973,36.472
33,10.496666666666664,16,289.76666666666665,1,5,-31.109527976260285,6.65052022652594,2023,89.21136,41.813
6,20.06,19,-0.88,1,6,-20.17605919325312,12.142355154842162,2023,-3.69877,2.8555
38,10.461,9,-0.598,0,4,-10.454666666666666,3.825067780375496,2024,-34.24203,29.231
21,12.333333333333334,28,600.4333333333333,1,5,1.4387391183860443,4.316837240095088,2024,168.3745,116.04
27,11.926666666666668,3,266.53333333333336,1,6,2.6761542689625144,3.8807103861623458,2024,73.94495,67.889
41,2.6826666666666665,15,-0.0606666666666666,1,4,3.430442904778469,0.9709010703945804,2024,-37.40229,52.305
20,22.019,26,680.7903333333334,0,5,44.683666666666674,10.436687179033402,2024,70.00581,139.89
36,16.483333333333334,29,227.0,1,5,-36.45121581173663,9.28755467976686,2023,49.04729,57.089
22,14.026666666666666,9,892.3333333333334,1,6,1.6234618908765848,8.970292332281211,2024,338.4105,190.66
34,20.44333333333333,31,382.06666666666666,1,5,-38.08637320756443,13.820685275375016,2023,89.8947,91.813
32,24.695000000000004,12,559.0083333333333,0,7,21.31833333333333,18.201587437076892,2023,42.29871,175.34
2,14.835666666666668,20,-1.612,0,7,-17.493333333333332,0.6487341212849884,2023,-24.5382,-3.1418
18,12.505333333333333,26,719.4490000000001,0,5,9.408666666666669,3.440639907262902,2023,104.4282,66.568
21,20.673333333333332,1,747.1,1,5,-12.440205615922006,12.567803376685449,2024,270.4643,142.49
44,14.013333333333334,19,-1.806,1,6,-2.6476483527203567,4.353350648916374,2024,-40.15652,9.0292
10,7.892,10,-1.6740000000000002,0,4,-14.647999999999998,2.1925152305517326,2024,-15.76529,9.3037
32,21.807999999999996,20,421.42666666666673,0,5,29.97066666666667,11.641315761335358,2024,39.49813,88.12299999999999
19,22.453333333333333,10,744.2249999999999,0,6,18.531,11.083921525323806,2023,113.7471,104.26
