30min,airPressure,airTemperature,day,day_of_year,incomingShortwaveRadiation,location,month,relativeHumidity,soilHeatflux,soilTemperature,waterPressureDeficit,waterVaporPressure,windSpeed,year,H_orig,LE_orig
35,952.0,16.516666666666666,27,118,190.0,1,4,43.153333333333336,-14.44038198572574,7.36388888888889,10.69873219356199,8.12160120662915,2.648,2024,26.839409999999997,9.7702
44,989.064,7.920333333333333,21,52,-0.626,0,2,94.12333333333332,1.445,7.6755555555555555,0.6276353696204477,10.052490035151774,0.7213333333333334,2023,-1.52129,3.2343
2,959.0,13.793333333333331,13,134,-2.578666666666667,1,5,65.83,-5.346707179197714,11.00888888888889,5.397207432231953,10.397956255891998,2.1723333333333334,2024,-56.91635,20.938
14,954.0,12.699999999999998,3,184,366.06666666666666,1,7,68.69333333333334,-28.22064859943072,17.17351,4.604002601663305,10.102138587636013,4.9493333333333345,2023,55.3647,58.004
9,960.0,15.876666666666663,13,164,43.21333333333333,1,6,51.45000000000001,-13.802954365267762,15.099754999999998,8.77164086005775,9.295590571575106,2.3943333333333334,2023,-20.39314,4.7337
41,964.0,12.023333333333332,17,198,-0.4356666666666666,1,7,85.93333333333334,-46.267804649301915,15.204575,1.9785643726303943,12.08705912948142,3.3209999999999997,2023,-59.793519999999994,39.365
29,961.0,23.89,25,177,737.5666666666666,1,6,48.42333333333334,-14.051796547913618,13.598888888888888,15.31319828622556,14.376968364505831,3.449333333333333,2024,217.3006,280.79
18,970.0,14.616666666666667,9,130,638.4333333333333,1,5,49.44,0.0154676780865172,10.21,8.42393184481884,8.237325759648803,1.8476666666666663,2024,271.1916,105.86
19,956.0,13.896666666666668,1,153,276.8666666666667,1,6,97.09999999999998,-2.034741575893696,12.20111111111111,0.4611479289457083,15.440504793319992,4.489999999999999,2024,95.47217,28.930999999999997
35,982.8983333333334,31.776999999999997,11,192,326.01399999999995,0,7,33.94433333333333,22.451333333333334,22.188777777777776,31.056245101431283,15.959017431833008,1.516,2023,-14.24283,86.291
36,984.912,22.717,30,121,109.50866666666666,0,4,60.17966666666666,23.687,13.959,11.01490819183893,16.64660860068481,2.193,2024,-19.68791,25.946
7,962.0,11.53,28,179,-1.0173333333333334,1,6,85.10000000000001,-22.246419128402387,17.838790000000003,2.0285149122809845,11.585679129873284,3.3533333333333335,2023,-40.8277,0.66804
20,967.6666666666666,14.12,8,129,824.1333333333333,1,5,54.26333333333333,1.4304482148638002,10.171111111111111,7.379134234264363,8.754822986632867,1.618,2024,285.0947,138.45
28,991.328,11.810666666666668,27,117,714.8033333333333,0,4,39.53866666666667,25.720333333333333,7.669666666666667,8.385646077292856,5.483790163984528,1.3926666666666667,2023,141.5715,160.71
19,968.0,11.376666666666669,30,150,760.1333333333333,1,5,70.0,-30.707540928383544,11.1528975,4.042949549104248,9.43354894790991,2.3913333333333333,2023,227.2634,67.915
20,962.0,20.94333333333333,10,161,780.7333333333332,1,6,55.663333333333334,-27.38353137713754,12.602735,11.00591204153502,13.81758703718467,1.5730000000000002,2023,334.769,195.33
23,983.2256666666668,19.054,3,184,615.048,0,7,51.92166666666666,11.201333333333332,15.980333333333332,10.617179005757446,11.465905555737567,2.6990000000000003,2023,90.6654,185.8
45,961.0,10.2,3,155,-0.563,1,6,79.83,3.4506059201144144,12.204444444444444,2.513154899185535,9.9467107388191,2.734666666666667,2024,-13.27464,3.1838
26,965.0,10.003333333333334,24,144,403.3,1,5,66.91333333333334,-30.909366648730668,10.931405000000002,4.068562448300394,8.228120349303058,3.267666666666667,2023,133.292,56.504
