30min,airTemperature,day_of_year,incomingShortwaveRadiation,location,soilTemperature,windSpeed,H_orig,LE_orig
25,24.13,181,833.4666666666667,1,14.796666666666669,2.1926666666666663,234.4131,179.98
32,2.5976666666666666,57,186.919,0,6.178999999999999,1.858,16.65922,29.336
33,9.56,137,391.5666666666666,1,10.18778975,4.037333333333333,99.07102,39.955
23,19.863333333333333,121,796.4333333333334,1,8.926666666666668,2.002333333333333,314.1673,83.229
45,11.913333333333332,140,-0.5653333333333334,1,11.554444444444444,2.9006666666666665,-17.31438,8.9266
38,21.209666666666667,166,72.539,0,18.273,0.8330000000000001,-45.79257,41.248000000000005
44,21.05333333333333,179,-1.8786666666666667,1,14.754444444444443,3.673666666666667,-48.84473,7.8708
47,7.405666666666668,143,-4.985333333333333,0,13.203666666666663,1.213666666666667,-33.448859999999996,10.448
26,18.333333333333332,155,868.6666666666666,1,11.077585,2.0370000000000004,274.4706,94.854
1,13.583333333333334,168,-1.5953333333333333,1,11.665555555555557,4.784666666666666,-28.7646,5.7895
3,7.631333333333333,164,-2.469,1,11.647777777777778,3.415666666666666,-46.290890000000005,4.0497
18,16.456666666666667,133,676.7333333333332,1,10.409055,1.534333333333333,265.9048,90.669
33,14.906666666666666,128,172.42133333333334,0,15.057777777777778,1.75,10.81611,44.153
47,4.786666666666666,137,-2.1326666666666667,1,10.200675,4.187,-55.60547,3.0139
29,25.073333333333338,197,765.6746666666667,0,21.54422222222222,2.6046666666666667,88.1202,191.66
41,8.77,144,-1.770333333333333,1,10.7970575,3.7556666666666665,-44.64202,-7.6664
36,27.581,181,151.75966666666667,0,21.498777777777775,1.5083333333333335,-8.61663,42.821000000000005
14,9.433333333333332,147,389.0,1,10.67006,2.069666666666667,151.4467,73.775
3,10.83,152,-0.4646666666666667,1,12.28,4.6386666666666665,-11.24269,-4.2971
11,17.61266666666667,210,15.199333333333334,0,19.998,1.014,-6.836119999999999,2.074
43,-0.9603333333333334,58,-5.261666666666667,0,5.515444444444444,1.0636666666666663,-12.04387,1.0394
20,19.648,169,418.511,0,17.367,1.5843333333333334,48.69332,97.154
21,18.43466666666667,158,856.4990000000001,0,18.558333333333337,1.8823333333333336,114.1178,205.24
16,18.163666666666668,137,506.698,0,17.003111111111114,3.435333333333334,75.42588,83.152
42,21.066666666666663,170,-1.8276666666666663,1,16.5231425,2.8659999999999997,-34.90532,7.8432
22,12.709666666666664,144,524.3513333333333,0,11.993333333333334,1.2473333333333334,72.89431,70.847
8,12.053333333333333,104,-1.3206666666666669,1,9.670000000000002,3.701,-28.2861,-0.85713
35,21.204666666666668,180,68.03066666666668,0,18.386333333333333,0.4853333333333333,8.865310000000001,53.597
25,24.89,142,474.2103333333334,0,13.453,1.7623333333333335,19.77301,108.05
40,14.066666666666668,140,3.8246666666666673,1,10.022077,3.3203333333333336,-62.39238,13.752
0,12.933333333333335,150,-0.6936666666666667,1,12.535555555555556,3.0403333333333333,-24.74207,5.2993
23,10.53,92,20.813,0,10.825444444444445,0.544,-8.83248,166.74
12,16.72666666666667,176,248.8,1,13.312222222222225,1.518,18.9366,19.164
20,9.271,93,149.17066666666668,0,12.01,2.1943333333333332,14.11036,42.177
19,19.116666666666667,180,416.0333333333333,1,17.5045525,1.5153333333333332,127.9879,111.86
21,0.4933333333333334,57,198.93133333333333,0,6.214444444444445,1.3613333333333335,19.25295,28.451
13,16.363333333333333,135,292.31466666666665,0,16.824444444444445,1.7166666666666668,21.09955,49.17
31,11.896666666666668,154,65.59333333333332,1,12.55,3.731,17.994,15.029000000000002
18,12.54,141,290.8666666666667,1,11.553333333333336,1.3716666666666668,30.47815,57.126000000000005
10,10.434666666666669,96,-3.264,0,12.370166666666666,1.374,-9.29481,-96.735
23,25.432,170,741.8373333333334,0,17.842111111111112,1.463,77.46624,216.11
11,9.934,119,8.651666666666666,0,8.4,1.2006666666666663,-6.556139999999999,10.523
43,14.786666666666669,181,-2.688333333333334,1,17.584497499999998,3.198,-67.52853,34.955
9,11.716666666666669,202,2.156333333333333,1,14.6343775,4.309666666666666,-53.536640000000006,26.176
43,17.869999999999997,151,-2.469,1,11.2723275,2.986666666666667,-37.301190000000005,-0.8876200000000001
40,7.320333333333333,51,-1.0490000000000002,0,7.273111111111111,2.4313333333333333,-9.34418,7.8715
10,11.330666666666668,134,32.928,0,16.442333333333334,0.7566666666666667,-18.32574,1.9134
23,12.646666666666668,208,73.13,1,13.9551475,4.360666666666667,-8.532010000000001,110.51
3,12.54,124,-1.817,1,10.603333333333332,1.889,-7.85735,-0.96971
21,16.103333333333335,131,433.06666666666666,1,10.363333333333332,1.3316666666666668,145.4579,125.74
46,1.2603333333333333,112,-2.609,1,7.734444444444445,2.0913333333333335,-39.50346,-4.9453
29,8.095666666666666,47,254.45366666666663,0,4.862222222222222,1.842,43.00187,27.691999999999997
21,22.656666666666663,198,479.052,0,21.060111111111112,2.2383333333333333,62.240590000000005,116.44
27,18.747,137,199.11266666666668,0,16.903333333333332,3.417666666666667,14.21691,72.17699999999999
22,19.671,182,239.28166666666667,0,16.326333333333334,2.781333333333333,2.90932,132.77
12,7.77,128,151.95433333333335,0,10.533,1.058,14.42612,18.208
26,17.645,152,905.648,0,14.679333333333334,1.6306666666666667,169.4498,111.57
24,17.288,127,433.9086666666667,0,14.625555555555556,1.288,60.47476,100.64
35,19.91,141,118.70333333333332,0,17.58988888888889,1.0686666666666664,-2.65108,25.03
32,27.137,170,377.6126666666667,0,18.659666666666663,1.264,24.01062,51.444
20,9.663333333333334,164,386.6333333333334,1,11.507777777777775,3.3409999999999997,122.9089,57.381
13,13.833333333333334,167,177.70000000000002,1,15.036135,2.1473333333333335,24.45177,56.29
7,11.99,104,-1.769,1,9.66777777777778,3.599,-43.62899,-2.0695
47,9.532333333333334,100,-2.9280000000000004,0,13.643777777777778,1.4766666666666666,-27.46707,14.32
8,10.376666666666669,203,0.4949999999999999,1,14.397105,3.8413333333333335,-71.3925,33.611
34,13.524666666666668,137,440.0683333333333,0,12.513,1.6213333333333333,73.23689,93.625
27,17.310666666666666,139,519.2316666666667,0,11.943,2.6053333333333337,51.380109999999995,137.05
6,6.313,163,-0.4526666666666666,1,11.99,5.8406666666666665,-28.51233,30.238000000000003
45,15.165333333333333,168,-4.056333333333334,0,17.714555555555553,0.4696666666666667,-29.91604,6.0831
45,15.523333333333332,144,-2.217,1,12.057777777777778,2.5749999999999997,-26.65873,2.6956
18,19.516666666666666,172,379.6666666666667,1,17.4469475,2.4936666666666665,106.8629,145.16
24,18.133333333333336,175,620.4666666666667,1,13.17,3.3380000000000005,167.345,150.19
35,12.4,163,303.96666666666664,1,11.653333333333334,3.665666666666666,82.59203000000001,27.841
45,15.363333333333332,156,-2.2333333333333334,1,11.967777777777778,3.380666666666667,-38.38841,3.1737
1,10.870666666666663,140,-2.1343333333333336,0,12.666666666666666,0.8236666666666667,-30.63092,10.179
18,16.113333333333333,199,685.6,1,14.96356,1.9446666666666663,205.8168,205.14
19,12.976666666666668,154,784.8333333333334,1,11.1578475,2.8573333333333335,265.528,153.16
33,16.82,150,457.3333333333333,1,11.084755,2.7563333333333335,158.9141,61.273
32,8.506666666666666,100,77.98,1,10.32111111111111,5.979333333333334,-22.11724,103.52
30,13.5,102,333.73333333333335,1,9.307777777777778,4.408666666666666,158.7277,13.463
40,15.48,120,-2.265333333333333,1,8.652222222222223,2.1016666666666666,-57.93206,10.066
34,17.016666666666666,148,192.53333333333333,1,12.586666666666666,2.1806666666666668,37.69559,38.761
18,18.38666666666667,180,398.6666666666667,1,17.513972499999998,1.673,97.38327,94.321
36,10.334333333333332,94,5.753,0,12.206666666666669,2.0926666666666667,-9.78971,17.817
33,20.37333333333333,160,376.26666666666665,1,11.988888888888887,3.5769999999999995,93.95358,129.03
45,14.566666666666668,141,-2.2739999999999996,1,11.603333333333332,2.9873333333333334,-54.07141,4.6975
31,20.43,160,663.2666666666667,1,11.973333333333334,3.7923333333333336,194.6228,139.45
29,2.468,57,277.06233333333336,0,6.153111111111111,2.2346666666666666,41.14983,50.497
45,9.033333333333331,124,-0.6499999999999999,1,10.644444444444446,2.361,-16.484679999999997,7.3832
23,8.977333333333334,114,794.6293333333333,0,9.861444444444444,1.986666666666667,213.821,162.36
17,14.2,150,404.8,1,12.44,4.800666666666667,106.7478,47.319
18,13.953333333333331,212,348.46666666666664,1,14.658115,5.839666666666666,42.41208,127.14
21,18.12666666666667,168,812.3000000000001,1,14.892375,3.982,234.1754,157.22
24,12.252,93,303.34666666666664,0,11.9365,3.3703333333333334,33.187129999999996,119.73
25,19.369,186,925.685,0,15.349333333333334,3.364333333333333,166.2062,227.65
0,7.757000000000001,52,-2.580333333333334,0,7.322333333333333,2.077666666666667,-14.14585,16.712
39,2.6003333333333334,115,0.541,1,7.147111111111111,3.427,-25.11733,21.689
15,9.8,92,34.89333333333334,1,7.78,3.5500000000000003,-34.91276,36.36
16,13.006333333333336,132,297.5253333333333,0,11.776666666666666,0.6250000000000001,34.33269,58.663999999999994
36,12.363,143,126.022,0,13.5,1.417,-14.93612,61.861
20,15.686666666666667,172,583.8,1,12.622222222222222,3.822333333333333,165.7478,123.47
23,12.256666666666668,171,134.33333333333334,1,12.811111111111112,2.2863333333333333,7.250039999999999,47.513000000000005
13,12.393333333333333,159,322.6,1,11.992222222222225,1.2963333333333331,58.33562,29.136
2,16.143333333333334,205,-1.648,1,14.3755125,5.862666666666667,-91.6234,57.835
25,20.206666666666667,123,843.3333333333334,1,10.27222222222222,3.751333333333333,307.7474,161.48
27,24.37133333333333,159,868.3070000000001,0,15.543333333333337,2.2103333333333333,77.50426999999999,296.83
41,15.567666666666668,167,-2.157666666666667,0,17.508777777777777,0.8586666666666667,-24.04693,13.895
25,12.26,102,375.7,1,9.378888888888888,4.386333333333333,157.2226,46.909
19,15.233333333333334,168,640.6333333333333,1,11.694444444444445,5.071000000000001,158.8739,107.52
30,5.729,116,461.1333333333334,1,6.963333333333334,2.849,216.9965,96.222
16,18.783333333333335,164,557.3333333333333,1,15.050115000000002,1.596,130.1468,93.916
35,20.813333333333336,123,245.4666666666667,1,10.356666666666667,3.659,47.34808,45.989
34,21.43133333333333,170,108.37866666666666,0,18.431,1.0903333333333332,10.07599,26.46
45,12.146666666666668,206,-2.3320000000000003,1,14.4823275,4.082333333333334,-40.22025,7.5717
35,17.817666666666664,96,67.392,0,11.168555555555557,3.113,-51.06702,56.238
12,12.033333333333331,155,247.6,1,11.1876825,2.426666666666667,16.62246,46.962
12,2.5773333333333333,123,161.593,0,8.82,0.4869999999999999,21.12503,1.7672
20,8.683333333333334,138,687.7000000000002,1,9.949953,2.3496666666666663,280.7056,44.395
9,13.52,195,20.886666666666667,1,15.20631,3.658,-50.33423,6.6075
14,15.886666666666663,195,365.93333333333334,1,15.1387575,1.530333333333333,51.63629,83.141
18,14.523333333333332,186,571.6,1,17.0200825,5.8919999999999995,19.44375,261.0
21,11.472,101,343.2853333333333,0,12.930111111111112,2.3636666666666666,52.49884,74.112
18,3.507,63,97.50066666666667,0,5.141333333333334,1.983666666666667,17.89923,15.532
37,14.822666666666665,145,106.753,0,13.386333333333331,1.1503333333333332,-13.48683,21.269
24,19.99,123,847.0,1,10.282222222222222,3.4263333333333335,260.0694,112.38
30,19.61,132,625.9666666666667,1,10.615555555555554,2.819333333333333,162.5646,80.52199999999999
4,7.333000000000001,49,-0.9073333333333332,0,6.344,1.3166666666666669,-14.75453,10.035
28,14.563666666666668,76,245.626,0,5.975333333333334,2.648,12.05342,56.927
19,4.707999999999999,61,381.0466666666666,0,4.726555555555556,2.445,56.976769999999995,43.931
1,13.23,206,-0.3436666666666666,1,14.692845000000002,3.852,-19.7105,19.328
46,11.086666666666666,131,-2.062666666666667,1,10.09742675,2.223333333333333,-19.00031,10.216
35,16.83,158,195.5666666666667,1,11.861111111111112,3.8546666666666662,11.06001,46.49100000000001
43,15.156666666666666,183,-2.1346666666666665,1,17.2265875,3.421666666666667,-51.84761,5.2617
16,20.166,169,471.44233333333335,0,16.497,1.0006666666666666,59.61185,71.779
22,20.869666666666667,179,927.3826666666668,0,16.723,1.652,168.9045,206.39
16,15.713333333333331,156,546.029,0,14.530666666666669,1.043,70.1303,59.59
28,17.697999999999997,96,91.23133333333334,0,10.931000000000004,2.4883333333333333,-27.95334,49.788
