year,day_of_year,30min,location,incomingShortwaveRadiation,soilHeatflux,H_orig,LE_orig
2023,117,22,0,685.3530000000001,19.15133333333333,140.5589,150.43
2023,166,13,0,316.28833333333336,-10.396666666666668,31.27398,33.400999999999996
2023,129,42,0,-3.806666666666666,-5.489,-56.4973,36.472
2023,136,33,1,289.76666666666665,-31.109527976260285,89.21136,41.813
2023,170,6,1,-0.88,-20.17605919325312,-3.69877,2.8555
2024,100,38,0,-0.598,-10.454666666666666,-34.24203,29.231
2024,149,21,1,600.4333333333333,1.4387391183860443,168.3745,116.04
2024,155,27,1,266.53333333333336,2.6761542689625144,73.94495,67.889
2024,106,41,1,-0.0606666666666666,3.430442904778469,-37.40229,52.305
2024,147,20,0,680.7903333333334,44.683666666666674,70.00581,139.89
2023,149,36,1,227.0,-36.45121581173663,49.04729,57.089
2024,161,22,1,892.3333333333334,1.6234618908765848,338.4105,190.66
2023,151,34,1,382.06666666666666,-38.08637320756443,89.8947,91.813
2023,193,32,0,559.0083333333333,21.31833333333333,42.29871,175.34
2023,201,2,0,-1.612,-17.493333333333332,-24.5382,-3.1418
2023,146,18,0,719.4490000000001,9.408666666666669,104.4282,66.568
2024,122,21,1,747.1,-12.440205615922006,270.4643,142.49
2024,171,44,1,-1.806,-2.6476483527203567,-40.15652,9.0292
2024,101,10,0,-1.6740000000000002,-14.647999999999998,-15.76529,9.3037
2024,141,32,0,421.42666666666673,29.97066666666667,39.49813,88.12299999999999
2023,161,19,0,744.2249999999999,18.531,113.7471,104.26
2023,157,26,1,149.16666666666666,-36.040038420911166,20.66654,21.66
2023,211,5,1,-2.029333333333333,-44.23478500518852,-51.92671,1.5792
2023,184,16,1,576.1333333333333,-28.426816214084283,136.5211,99.203
2024,138,19,0,671.6106666666666,47.39033333333333,94.62807,176.07
2024,105,25,0,429.523,17.91933333333333,42.05678,133.3
2024,102,28,0,379.48566666666665,22.926666666666662,43.26202,122.76
2023,191,22,1,313.6333333333334,-25.096872740619467,67.95775,61.809
2024,130,43,1,-2.5266666666666664,-6.715014266968643,-19.75295,3.3053
2024,111,15,1,96.78333333333336,12.936583577635078,26.26386,26.946
2023,181,38,1,51.96000000000001,-26.355443170263538,-15.460120000000002,24.996
2023,187,16,0,464.996,24.048,86.60611,94.208
2023,139,27,1,521.5666666666667,-31.505725831728427,178.8007,88.023
2024,100,29,1,154.6,-10.702393141564585,52.546519999999994,173.68
2024,115,39,0,-1.561,-8.4,-5.20196,25.452
2023,203,40,1,0.6926666666666668,-48.97345608639724,-28.09995,9.7957
