year,month,day,30min,location,incomingShortwaveRadiation,H_orig,LE_orig
2024,6,29,17,1,632.5666666666666,185.2737,123.07
2023,6,11,10,1,90.59333333333336,-27.58948,35.14
2024,5,3,18,0,75.533,2.48343,26.981
2024,4,29,30,0,714.292,92.29544,151.58
2024,4,8,39,1,-2.290666666666666,-13.74284,4.5717
2023,5,13,44,1,-2.62,-50.28133,11.764
2023,5,10,30,0,305.42066666666665,43.74082,110.31
2023,2,24,23,0,55.355,5.98945,37.388000000000005
2023,6,27,47,1,-2.311,-35.15412,0.1280599999999999
2023,5,28,43,1,-2.665,-60.85702,8.1377
2023,6,4,2,1,-2.959666666666667,-47.32374,5.2187
2023,7,21,19,1,618.1,113.0711,173.77
2023,6,9,47,1,-3.114666666666667,-43.40324,-30.19
2023,5,11,36,1,39.67333333333333,-13.3549,30.786
2023,6,4,16,1,569.0333333333334,170.58700000000002,95.411
2023,7,7,23,0,906.574,108.4546,250.95
2023,6,28,30,0,649.5770000000001,88.44258,148.16
2023,3,7,3,0,-2.1486666666666667,-18.57912,21.337
2024,5,11,17,0,419.718,69.30093000000001,74.093
2023,7,16,19,0,741.9603333333334,105.0587,228.45
2024,4,6,1,0,-2.392,-25.43716,6.8651
2023,6,11,34,1,404.3333333333333,86.40275,123.61
2024,4,7,31,1,340.90000000000003,117.5754,28.014
2023,3,4,40,0,-1.895,-7.704289999999999,14.957
2024,4,3,0,0,-0.86,-16.37846,12.78
2023,5,9,24,1,798.7000000000002,316.0511,101.78
2023,6,17,38,1,87.77999999999999,-7.576569999999999,12.404000000000002
2023,7,15,11,1,146.66666666666666,-31.77252,27.883000000000003
2023,6,24,24,0,720.5123333333332,109.6661,142.48
2023,5,18,28,1,620.0,270.7407,70.149
2024,5,4,38,1,21.083333333333332,-28.01567,6.0292
2024,5,1,42,0,-4.596666666666667,-58.42552,29.064
2023,5,28,20,0,810.5353333333333,95.0174,149.89
2023,5,11,3,1,-0.4399999999999999,-4.31758,-3.1853
2024,4,28,5,1,-2.0556666666666668,-36.67344,9.6776
2024,4,8,17,1,405.6333333333334,77.41537,44.773
2023,5,29,24,1,890.3333333333334,256.3353,91.178
2024,6,17,10,1,40.03666666666667,-13.06953,7.9461
2024,4,4,6,0,-5.075333333333333,-28.13372,11.289
2024,5,13,35,0,284.107,-18.49208,60.99
2024,6,29,11,1,170.33333333333334,-7.84117,57.793
2023,7,10,38,0,55.160333333333334,-18.69888,23.251
2024,4,8,28,0,393.88733333333334,-9.06382,122.51
2024,6,28,6,1,-1.8443333333333336,-37.55516,11.397
2023,5,25,4,1,-1.6436666666666664,-34.7128,-4.4532
2024,5,24,11,1,194.33333333333337,27.05773,55.433
2024,6,20,22,0,812.0043333333333,82.02808,209.71
2023,7,19,11,1,69.74333333333333,-27.91203,19.984
2023,6,16,26,1,617.6,118.047,109.67
2024,4,16,42,1,-0.3426666666666667,-16.36451,72.908
2023,7,29,25,0,710.167,91.42123,241.94
2023,6,25,13,1,314.1,17.58298,26.882
2024,5,14,41,1,-2.582666666666667,-106.6714,32.988
2023,3,13,46,0,-4.692,-33.44964,-6.2457
2024,6,27,6,1,-1.0973333333333333,-33.10025,19.993
2023,6,2,23,1,316.8,125.7216,52.802
2024,6,26,19,0,745.1640000000001,80.4181,128.6
2023,6,7,25,0,719.5733333333334,116.1307,174.9
2023,6,28,19,1,773.6666666666666,255.3321,197.16
2023,7,7,43,1,-3.092333333333334,-91.2462,72.741
2024,5,3,34,1,39.413333333333334,2.74179,14.232
2024,6,9,11,1,174.13333333333333,22.67402,31.142
2023,7,13,38,0,36.01266666666667,-6.05249,12.487
2024,6,11,31,1,631.0666666666667,215.7244,115.21
2023,7,5,34,1,133.0,-21.22418,69.925
2023,6,5,40,1,9.246,-33.98526,13.258
2023,2,21,44,0,-0.626,-1.52129,3.2343
2023,6,22,32,1,9.977,287.345,222.19
2024,4,2,20,0,149.17066666666668,14.11036,42.177
2023,6,17,14,0,369.15933333333334,33.273109999999996,114.0
2024,4,6,24,1,539.0666666666667,120.5203,44.538
2023,5,29,18,1,663.2666666666667,127.9217,54.411
2023,7,17,36,0,129.133,-18.29642,47.373000000000005
2024,5,26,21,1,858.5333333333333,239.2135,201.32
2024,4,25,4,1,0.9776666666666668,90.55104,-8.1317
2024,5,31,4,1,-0.162,-9.87047,-8.4173
2024,5,5,20,0,840.6413333333334,140.0007,197.87
2024,4,24,42,1,-0.0653333333333333,13.04685,81.35600000000001
2024,4,25,45,1,-2.7466666666666666,-19.03069,3.1931
2024,4,10,46,1,-2.7689999999999997,-21.61697,0.34993
2023,4,27,28,0,714.8033333333333,141.5715,160.71
2024,6,26,24,0,890.0079999999999,109.4974,229.68
2023,6,3,12,0,245.25966666666667,27.14882,22.816
2023,6,1,0,1,-2.4073333333333333,-60.94676,6.7107
2024,6,27,47,1,-2.332666666666667,-39.06617,5.3746
2023,7,1,34,1,28.543333333333333,-18.73577,29.603
2023,5,22,27,0,777.2803333333333,85.53576,184.74
2023,7,5,0,1,-0.8409999999999999,-35.14012,22.636
2024,4,24,2,0,-1.357,-16.8292,18.209
2024,6,10,26,0,288.549,17.32348,82.26299999999999
2023,6,12,10,1,90.8,-24.08601,17.86
2024,5,20,43,1,-2.6806666666666668,-79.539,0.38005
2023,3,6,1,0,-0.7566666666666667,-7.302910000000001,5.9331
2024,4,24,4,0,-2.3160000000000003,-10.70803,12.522
2023,5,19,17,1,629.5666666666667,255.8638,59.368
2023,7,20,9,1,11.769,-13.31809,8.0778
2023,6,2,7,0,-0.8276666666666666,-3.67994,6.1007
2023,7,15,36,0,13.892,-30.33124,43.239
2023,3,4,3,0,-0.5670000000000001,-9.35472,4.5771
2024,5,1,1,1,-2.208666666666667,-53.00554,28.375
2024,5,21,29,1,531.9,114.9603,161.73
2023,2,17,20,0,35.81666666666667,-10.78767,15.034
2023,6,3,21,0,891.4343333333333,139.5166,154.48
2023,5,6,19,0,504.6523333333333,55.0621,107.05
2023,5,26,35,1,281.09999999999997,76.42907,28.642
2023,7,16,29,1,718.0666666666666,196.9559,172.61
2023,6,13,5,1,-2.7983333333333333,-57.56946,7.4993
2024,4,26,19,0,710.4233333333333,138.0782,163.06
2024,4,12,33,0,67.74233333333332,-15.14624,40.687
2024,6,25,16,0,556.4543333333334,87.33239,138.73
2024,5,7,23,1,168.33333333333334,38.03331,19.042
2023,7,9,32,1,380.6666666666667,45.95653,137.26
2023,6,8,26,0,787.3143333333334,110.1938,227.18
2023,6,6,15,1,309.0,59.609080000000006,98.94
2023,5,2,14,0,39.732000000000006,-5.2269,19.891
2023,7,9,18,0,626.7253333333333,66.92342,158.33
2024,6,6,47,1,-1.527,-36.86145,12.8
2024,4,7,5,1,-2.9150000000000005,-70.14426,10.104
2024,4,29,15,1,273.1333333333333,67.04120999999999,43.455
2023,5,16,42,1,-2.219666666666667,-54.274640000000005,-0.8806200000000001
2023,6,30,39,1,37.336666666666666,-23.14147,9.3109
2023,7,18,16,1,549.0333333333333,117.0742,57.36600000000001
2024,4,3,18,1,146.86666666666667,25.48859,33.079
2024,4,21,47,1,-2.3680000000000003,-26.11943,0.093282
2023,5,20,7,1,-0.431,-5.40653,10.689
2023,6,27,40,1,9.136666666666668,-27.86944,7.0382
2024,6,6,6,1,-1.9906666666666664,-41.31608,14.947
2024,5,4,44,0,-3.6626666666666665,-38.962,9.3907
2023,7,18,6,1,-1.517,-65.62952,32.277
2024,5,4,28,0,173.05999999999997,8.82062,57.371
