year,day_of_year,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,H_orig,LE_orig
2024,166,39,0,25.767,-4.543333333333334,4.338781029344268,-9.75225,9.9523
2023,133,37,0,118.78466666666668,10.380333333333333,11.042241560771402,-62.78488,127.58
2024,105,9,1,-2.2883333333333336,-6.0156983852393,4.819715804619225,-30.52905,11.345999999999998
2024,181,17,0,623.6523333333333,36.22266666666667,12.473990239221292,75.29525,143.31
2023,71,20,0,147.84,-11.109333333333334,2.3444870332036984,11.64237,31.583
2024,147,44,0,-1.004,-11.065666666666669,1.7632633815023055,-9.01265,9.0471
2024,129,41,1,-2.285,-5.0985101985392305,8.127765955561735,-59.03252,17.393
2023,159,41,0,-1.9573333333333336,1.849,10.032280096593928,-37.30564,24.049
2024,163,17,1,303.09999999999997,8.865770607496056,2.3735490148144827,56.65506,71.187
2023,192,14,1,378.0,-23.658620251591355,6.957795430705945,59.08,47.04600000000001
2023,180,30,0,173.1966666666667,14.979,10.587704811199275,10.61434,44.898999999999994
2023,76,27,0,327.83566666666667,25.191333333333336,10.038791532356786,35.995670000000004,70.37
2024,114,46,1,-0.959,6.666520894397526,3.496512440705044,-23.28404,4.1721
2023,200,35,1,299.76666666666665,-47.500902632347845,9.490740632305393,45.57686,93.562
2023,200,25,1,177.26666666666665,-47.317457597898205,2.072274727001348,-36.9879,104.73
2024,161,24,0,946.066,49.774,12.416295638956292,149.3025,233.67
2024,174,35,1,199.76666666666665,-8.99355041781539,5.1501594749407555,31.186120000000003,53.808
2023,184,4,1,-1.7566666666666666,-29.244250182187972,4.574182397683549,-20.19444,1.7089
2024,182,15,1,133.81333333333333,-6.305297730434806,0.7935093141704712,3.94405,35.016999999999996
2023,205,47,1,-0.7773333333333333,-46.50168802261197,1.164035203388741,-19.04549,23.927
2023,200,17,0,596.9899999999999,61.068333333333335,12.096203312056836,75.13405,111.83
2024,140,21,1,328.7,-0.8142195743270811,1.9468961153860056,51.31174,88.605
2023,53,29,0,276.577,26.548,5.833110533971009,24.96005,34.272
2023,142,27,0,777.2803333333333,48.64433333333333,18.2038283370514,85.53576,184.74
2024,97,38,1,-2.146,-22.914810293147056,16.496977298719273,-32.51027,-27.904
2024,164,47,1,-1.1566666666666667,4.322839144466001,2.8199496655330005,-27.30352,6.6572
2024,110,2,0,-1.8836666666666664,-15.638666666666666,2.500834473306636,-20.86654,15.274
2023,182,42,0,-2.800333333333333,-2.5966666666666662,1.231278643494754,-7.042560000000001,15.508
2023,206,33,1,228.4333333333333,-44.4554979657689,6.947285100720286,17.51456,55.473
2023,188,38,1,99.31,-48.739066158751314,19.47254281248903,-18.94237,25.764
2023,117,47,0,-3.122666666666666,-8.098666666666666,3.906528483419104,-28.53593,14.029000000000002
2023,146,7,1,-1.209666666666667,-31.742576166147913,0.8533544437460616,-37.73377,-7.2249
2024,147,31,0,570.7056666666666,53.324000000000005,17.369597611190233,44.72576,156.91
2023,167,28,0,766.7283333333334,29.060666666666663,19.298955939226108,118.1351,95.541
2023,115,36,0,98.063,-2.6426666666666665,4.95060857294342,-35.00869,51.17
2023,207,30,1,285.8333333333333,-43.64312954102281,9.341005781807366,39.94062,107.91
2024,174,0,1,0.1556666666666666,-10.264018317294708,0.9533938249789068,-23.36385,39.262
2023,197,22,1,708.6,-43.98208675655024,10.733858763628223,172.7562,126.13
2023,197,23,0,832.484,80.919,15.235050419884455,134.3558,287.33
2024,169,3,1,-1.454,-4.012097135705739,4.142621068201121,-29.599290000000003,2.7164
2024,134,1,1,-2.5966666666666662,-5.664201313694699,5.903384023765748,-58.87365,20.861
2024,163,22,1,475.6666666666667,6.630594933455523,4.9482005497089006,234.651,103.4
2024,103,36,0,49.71333333333333,10.700666666666663,5.7950835478068985,-24.98314,25.549
2023,150,41,1,-1.6623333333333334,-34.81584132119357,4.538269161067021,-50.01778,2.0938
2023,79,46,0,-0.7656666666666666,-2.8366666666666673,1.510153506729523,-4.36673,4.6072
2024,166,36,0,59.40733333333333,-1.159,5.607328012833506,-7.260389999999999,25.428
2024,123,4,1,-2.1983333333333337,-10.284893808565576,4.434111094900448,-43.67369,5.4848
2024,123,6,0,-4.47,-15.159,4.046988080282885,-37.62998,7.6764
2023,180,32,1,177.6,-29.831346657331853,9.17485231681146,8.7695,88.939
2023,207,46,1,-2.315,-41.19357750310586,4.146650740958009,-42.880109999999995,-5.0731
2023,184,21,1,420.1666666666667,-29.035766890570876,7.12663123213026,96.46587,104.04
2023,145,21,0,608.724,10.415333333333333,3.455401507114404,124.4235,95.547
2023,183,8,0,2.9933333333333336,-6.957333333333334,0.842078723523878,-16.53864,10.87
2024,128,25,1,236.03333333333333,-2.603303989543932,4.07151488279726,52.75577,28.293000000000003
2024,119,29,1,439.0333333333333,-14.810054271733582,12.047150611353484,224.6637,84.633
2023,166,44,1,-3.774,-28.00442226296699,8.258472725930767,-46.07199,36.918
2023,141,1,1,-0.6499999999999999,-35.02439697771571,3.14974550489039,-30.22207,-0.046571
2024,99,20,1,606.0333333333334,-9.243182916577467,10.593694923825826,238.6044,86.741
2023,206,42,1,-1.3216666666666663,-43.03027115966031,3.424769157844718,-29.03722,8.1322
2024,128,32,1,313.8333333333333,-4.034851635128003,4.315646904189951,118.1614,73.182
2024,120,45,1,-1.018333333333333,-10.045028874774957,6.254728782019557,-48.95525,15.843
2023,157,30,1,153.79999999999998,-35.2222426282819,7.255342386279125,4.62319,31.455
2024,95,0,0,-2.177,-3.1766666666666663,1.0151540909012784,-20.93779,5.5488
2024,113,10,1,5.068333333333333,15.140835211143564,0.4869911534589954,4.18064,11.947
2023,150,47,1,-2.276,-33.58628921849797,3.934842813582147,-74.96093,9.5433
2023,167,29,0,447.0173333333334,29.584999999999997,17.480898439097313,143.2469,40.936
2024,180,21,1,673.6333333333333,-9.321095611515844,11.592584481526435,146.22,201.2
2024,95,7,0,-4.589666666666666,-10.275333333333334,1.979207269822446,-26.770540000000004,3.1928
2023,142,3,0,-3.083,0.535,6.130805531319034,-30.43521,13.073
2023,48,1,0,-0.715,3.126,1.4688274993404296,-12.84532,5.5695
2023,176,24,0,612.7563333333334,39.598333333333336,16.932926213119103,68.6879,197.41
2023,210,1,1,-1.2220000000000002,-57.58965587802546,0.9478259201075224,-47.02327,18.15
2023,132,31,0,571.462,31.78366666666666,15.719749978957678,35.5102,181.27
2023,200,37,1,91.77,-47.70851754510362,9.533659814805704,-30.25332,60.92100000000001
2023,117,29,0,710.0590000000001,27.933999999999997,8.989996330375616,137.047,154.36
2024,168,24,1,855.6,-4.541726033249544,9.298566039452876,187.3271,126.37
2024,127,20,0,425.333,27.86266666666667,5.9557853171956125,58.76585,96.163
2024,140,31,0,220.08833333333337,26.662000000000003,6.510968009850769,18.77153,56.71
2024,103,33,0,67.74233333333332,16.849,6.033047667931587,-15.14624,40.687
2023,151,21,0,869.2669999999999,35.892,14.573604005084572,111.1778,167.14
2024,129,35,1,277.26666666666665,-6.391545283587622,10.10078004644867,68.44213,41.786
2023,202,33,0,351.8606666666667,12.885,6.265896209315265,18.39665,143.02
2024,124,18,0,75.533,2.9683333333333337,2.401841167809714,2.48343,26.981
2024,172,19,1,646.5333333333333,0.8226474101940067,4.26001486789311,196.5939,143.3
2023,182,12,0,94.664,-10.564333333333334,4.0283251184093185,-8.76269,31.834
