year,month,day,30min,location,netRadiation,incomingShortwaveRadiation,soilHeatflux,airPressure,waterPressureDeficit,waterVaporPressure,windSpeed,relativeHumidity,day_of_year,H_orig,LE_orig
2023,7,23,22,0,226.84066666666664,375.43700000000007,43.135333333333335,980.6716666666666,13.737641916926496,13.094388702867956,2.925333333333333,48.80133333333333,204,17.59062,186.42
2024,5,11,36,0,46.92033333333333,121.53633333333333,16.80666666666667,992.3980000000001,13.162467923527231,12.417411307783265,1.0813333333333333,48.543666666666674,132,-5.98625,27.837
2023,7,29,14,1,39.34533333333343,46.836666666666666,-54.716841510129846,952.0,0.8101994901981442,17.88671182206674,3.272,95.66666666666667,210,-5.31769,24.203000000000003
2024,5,3,16,1,111.38633333333337,135.5,-5.076746936483309,951.0,0.666557811735224,12.57631262009039,3.0273333333333334,94.96666666666665,124,11.702580000000001,39.400999999999996
2023,5,29,36,1,93.84333333333325,227.0,-36.45121581173663,966.0,9.28755467976686,9.492887514423341,3.5403333333333333,50.546666666666674,149,49.047290000000004,57.089
2024,4,7,9,1,-75.59933333333333,-1.8539999999999999,-8.359153294737904,956.3333333333334,13.604538971600567,8.597287125772931,5.786666666666668,38.723333333333336,98,-92.91721,25.664
2023,5,31,34,1,221.85666666666663,382.06666666666666,-38.08637320756443,966.0,13.820685275375016,10.250174420488584,3.173666666666667,42.583333333333336,151,89.8947,91.81299999999999
2023,7,12,31,0,342.539,565.8556666666667,30.36466666666667,983.973,18.23903743727942,13.11675515878615,2.6376666666666666,41.832,193,42.92028,175.42
2024,6,25,33,1,306.27333333333337,475.4666666666667,-15.742894728213486,960.0,14.758101881821595,14.73647252725494,3.1650000000000005,49.96333333333333,177,108.7748,194.13
2023,5,26,18,0,378.875,719.4490000000001,9.408666666666667,1000.0153333333334,3.440639907262902,11.078665942688158,1.6579999999999997,76.303,146,104.4282,66.568
2024,4,17,43,1,-15.474666666666621,-0.6143333333333333,12.44104081645854,953.0,0.2894385918067677,6.713107984163425,1.6353333333333333,95.86666666666667,108,-13.04733,3.5698
2023,7,7,27,0,538.2476666666666,883.293,79.817,992.968,23.19176512544834,11.588404826184567,1.2286666666666666,33.318999999999996,188,69.19373,214.35
2024,4,10,8,1,-58.17966666666672,-1.57,7.544898180233456,963.6666666666666,1.9918507566173265,7.602806067165556,4.6419999999999995,79.24,101,-32.34179,3.0737
2024,4,25,7,1,-2.4910000000000423,0.05466666666666666,12.48602710799503,946.0,0.2676197785987062,6.367581343683238,4.2266666666666675,95.96666666666665,116,-57.41256,9.3688
2023,6,10,19,0,422.7633333333333,744.2249999999999,18.531000000000002,989.04,11.083921525323806,16.138599167582683,1.4693333333333332,59.284,161,113.7471,104.26
2023,6,6,26,1,90.5076666666667,149.16666666666666,-36.040038420911166,964.0,8.523222412982625,11.123083571610442,1.1203333333333332,56.61666666666667,157,20.666539999999998,21.66
2024,4,4,28,0,36.757666666666665,166.83700000000002,27.291666666666668,977.9963333333334,3.8141165648828768,11.876885854996495,3.1189999999999998,75.69233333333334,95,-29.08507,77.169
2024,6,17,23,1,634.9393333333333,835.9666666666667,-6.091511013803724,956.0,5.8906272615664825,14.131899120372616,3.789,70.58,169,194.7484,161.26
2024,5,15,9,0,-61.125,5.816333333333334,-22.153666666666666,979.9893333333333,5.41376471722862,9.527903162296175,2.2453333333333334,63.76733333333333,136,-51.68472,14.35
2024,4,14,23,0,286.253,479.24800000000005,16.593333333333334,992.2996666666667,7.9621932826613655,9.588047597830096,3.2243333333333335,54.632000000000005,105,39.33996,143.66
2024,4,12,0,1,-21.374999999999943,-0.819,0.27031181898626255,975.0,2.4996079967152696,10.796179219855322,1.977,81.2,103,-8.27092,-4.8437
2024,4,2,45,1,-12.110333333333301,0.48166666666666663,1.4627821126225855,951.0,1.3828013646355064,8.661760606082465,5.603333333333333,86.23333333333335,93,-88.39024,72.408
2024,5,9,41,1,-93.17133333333334,-2.359666666666666,-7.64063764724191,967.0,8.380213476493914,8.40707313507242,2.784333333333333,50.080000000000005,130,-49.38595,6.5042
2024,4,26,2,1,-43.41599999999994,-1.165333333333333,9.12672509252332,947.0,1.936302199996434,5.818212017049765,3.368,75.03000000000002,117,-26.259059999999998,5.4669
2023,7,27,3,1,-66.7696666666667,-1.8739999999999999,-40.370354342593515,956.0,2.949968774761171,11.196300925180502,3.749,79.14666666666666,208,-49.84016,0.25017
2023,7,6,15,0,222.89466666666667,481.4579999999999,9.078333333333333,989.9373333333334,5.895366175349041,12.98974826661861,1.3839999999999997,68.783,187,82.32188000000001,98.60799999999999
2023,5,19,27,1,376.69433333333336,521.5666666666667,-31.505725831728427,967.6666666666666,8.685471295414699,8.004519664259972,2.7536666666666663,47.96,139,178.8007,88.023
